observation_date,DDOE01PKA086NWDB
1960-01-01,2.0549200000000001
1961-01-01,2.0872799999999998
1962-01-01,2.0335000000000001
1963-01-01,2.1231499999999999
1964-01-01,2.2630200000000000
1965-01-01,2.3487300000000002
1966-01-01,2.5884099999999997
1967-01-01,2.6448600000000000
1968-01-01,2.6975699999999998
1969-01-01,2.8266499999999999
1970-01-01,2.9752299999999998
1971-01-01,3.0805700000000003
1972-01-01,3.3218000000000001
1973-01-01,4.5778099999999995
1974-01-01,5.5198900000000002
1975-01-01,6.2235300000000002
1976-01-01,6.8029299999999999
1977-01-01,7.2649899999999983
1978-01-01,7.6679999999999984
1979-01-01,8.3610199999999999
1980-01-01,9.6256299999999992
1981-01-01,10.6297999999999995
1982-01-01,11.0330999999999992
1983-01-01,12.0068999999999999
1984-01-01,12.4161999999999999
1985-01-01,13.0340000000000007
1986-01-01,13.6471000000000000
1987-01-01,14.2858999999999998
1988-01-01,15.8270999999999997
1989-01-01,16.6951999999999998
1990-01-01,19.0008000000000017
1991-01-01,20.5845999999999982
1992-01-01,22.6860999999999997
1993-01-01,25.1375999999999991
1994-01-01,28.8384000000000000
1995-01-01,31.7545999999999999
1996-01-01,35.3763000000000005
1997-01-01,38.2417000000000016
1998-01-01,40.6743999999999986
1999-01-01,41.9085999999999999
2000-01-01,44.0251999999999981
2001-01-01,44.8063999999999965
2002-01-01,46.3350999999999971
2003-01-01,48.8436999999999983
2004-01-01,52.4410999999999987
2005-01-01,56.9052000000000007
2006-01-01,61.9572000000000003
2007-01-01,67.4056000000000068
2008-01-01,83.1410000000000053
2009-01-01,91.8906000000000063
2010-01-01,105.8700000000000045
2011-01-01,116.1889999999999930
2012-01-01,125.4050000000000011
2013-01-01,136.9129999999999825
2014-01-01,142.7980000000000018
2015-01-01,147.3479999999999848
2016-01-01,152.7969999999999970
2017-01-01,159.7849999999999966
