Date,3 Months,6 Months (%),12 Months (%),Profit (PKR - 3 Months),Profit (PKR - 6 Months),Profit (PKR - 12 Months)
19-May-21,6.96%,7.14%,7.30%,1740,3570,7300
17-Jun-21,6.96%,7.20%,7.30%,1740,3600,7300
13-Aug-21,6.68%,7.12%,7.30%,1720,3560,7300
10-Dec-21,9.24%,9.60%,10.26%,2310,4830,10260
4-Feb-22,9.68%,10.12%,10.20%,2420,5060,10200
27-Feb-22,9.72%,10.10%,10.14%,2430,5050,10140
25-Mar-22,10.40%,10.60%,10.70%,2600,5300,10700
10-May-22,13.40%,13.90%,13.75%,3350,6950,13750
3-Jun-22,13.68%,13.96%,14.00%,3420,6980,14000
10-Aug-22,14.76%,14.90%,15.04%,3690,7450,15040
5-Oct-22,15.00%,15.04%,15.14%,3750,7520,15140
7-Nov-22,14.80%,14.86%,15.90%,3700,7430,14900
12-Jan-23,16.12%,16.00%,15.96%,4030,8000,15960
10-Apr-23,19.92%,19.64%,19.82%,4980,9820,19820
9-May-23,20.84%,19.68%,20.80%,5210,10410,20800
5-Sep-23,21.74%,21.72%,21.80%,5435,10860,21800
30-Oct-23,21.60%,21.66%,21.70%,5400,10830,21720
19-Dec-23,20.72%,20.76%,20.80%,5180,10380,20800
26-Jan-24,20.72%,20.30%,20.34%,5070,10150,20340
21-Feb-24,20.28%,19.90%,19.76%,4980,9950,19760
19-Mar-24,19.40%,19.38%,19.00%,4850,9690,19000
14-May-24,20.20%,19.38%,19.74%,5050,9690,19740
4-Jun-24,20.52%,20.24%,19.80%,5130,10120,19800
25-Jun-24,Same,Same,19.34%,,,19340
7-Aug-24,15.00%,18.97%,17.90%,4750,9460,17900
19-Aug-24,Same,Same,17.56%,,,17560
12-Sep-24,18.52%,18.22%,17.22%,4630,9110,17220
4-Nov-24,14.32%,13.46%,12.96%,3580,6730,12960
10-Dec-24,12.76%,12.74%,12.38%,3190,6370,12380
